title,summary,authors,title_summary,keywords
The Meaning of Null in Databases and Programming Languages,"The meaning of null in relational databases is a major source of confusion
not only among database users but also among database textbook writers. The
purpose of this article is to examine what database nulls could mean and to
make some modest suggestions about how to reduce the confusion.",Kenneth Baclawski,"The Meaning of Null in Databases and Programming Languages. The meaning of null in relational databases is a major source of confusion
not only among database users but also among database textbook writers. The
purpose of this article is to examine what database nulls could mean and to
make some modest suggestions about how to reduce the confusion.","Null, Databases, Programming Languages"
"A collection of database industrial techniques and optimization
  approaches of database operations","Databases play an essential role in our society today. Databases are embedded
in sectors like corporations, institutions, and government organizations, among
others. These databases are used for our video and audio streaming platforms,
social gaming, finances, cloud storage, e-commerce, healthcare, economy, etc.
It is therefore imperative that we learn how to properly execute database
operations and efficiently implement methodologies so that we may optimize the
performance of databases.",Jasper Kyle Catapang,"A collection of database industrial techniques and optimization
  approaches of database operations. Databases play an essential role in our society today. Databases are embedded
in sectors like corporations, institutions, and government organizations, among
others. These databases are used for our video and audio streaming platforms,
social gaming, finances, cloud storage, e-commerce, healthcare, economy, etc.
It is therefore imperative that we learn how to properly execute database
operations and efficiently implement methodologies so that we may optimize the
performance of databases.","Database Industrial Techniques, Database Optimization"
Managing Variability in Relational Databases by VDBMS,"Variability inherently exists in databases in various contexts which creates
database variants. For example, variants of a database could have different
schemas/content (database evolution problem), variants of a database could root
from different sources (data integration problem), variants of a database could
be deployed differently for specific application domain (deploying a database
for different configurations of a software system), etc. Unfortunately, while
there are specific solutions to each of the problems arising in these contexts,
there is no general solution that accounts for variability in databases and
addresses managing variability within a database. In this paper, we formally
define variational databases (VDBs) and statically-typed variational relational
algebra (VRA) to query VDBs---both database and queries explicitly account for
variation. We also design and implement variational database management system
(VDBMS) to run variational queries over a VDB effectively and efficiently. To
assess this, we generate two VDBs from real-world databases in the context of
software development and database evolution with a set of experimental queries
for each.","Parisa Ataei, Qiaoran Li, Eric Walkingshaw, Arash Termehchy","Managing Variability in Relational Databases by VDBMS. Variability inherently exists in databases in various contexts which creates
database variants. For example, variants of a database could have different
schemas/content (database evolution problem), variants of a database could root
from different sources (data integration problem), variants of a database could
be deployed differently for specific application domain (deploying a database
for different configurations of a software system), etc. Unfortunately, while
there are specific solutions to each of the problems arising in these contexts,
there is no general solution that accounts for variability in databases and
addresses managing variability within a database. In this paper, we formally
define variational databases (VDBs) and statically-typed variational relational
algebra (VRA) to query VDBs---both database and queries explicitly account for
variation. We also design and implement variational database management system
(VDBMS) to run variational queries over a VDB effectively and efficiently. To
assess this, we generate two VDBs from real-world databases in the context of
software development and database evolution with a set of experimental queries
for each.","Variability, Relational Databases, VDBMS, VRA, Software Development, Database Evolution"
Firebird Database Backup by Serialized Database Table Dump,"This paper presents a simple data dump and load utility for Firebird
databases which mimics mysqldump in MySQL. This utility, fb_dump and fb_load,
for dumping and loading respectively, retrieves each database table using
kinterbasdb and serializes the data using marshal module. This utility has two
advantages over the standard Firebird database backup utility, gbak. Firstly,
it is able to backup and restore single database tables which might help to
recover corrupted databases. Secondly, the output is in text-coded format (from
marshal module) making it more resilient than a compressed text backup, as in
the case of using gbak.",Maurice HT Ling,"Firebird Database Backup by Serialized Database Table Dump. This paper presents a simple data dump and load utility for Firebird
databases which mimics mysqldump in MySQL. This utility, fb_dump and fb_load,
for dumping and loading respectively, retrieves each database table using
kinterbasdb and serializes the data using marshal module. This utility has two
advantages over the standard Firebird database backup utility, gbak. Firstly,
it is able to backup and restore single database tables which might help to
recover corrupted databases. Secondly, the output is in text-coded format (from
marshal module) making it more resilient than a compressed text backup, as in
the case of using gbak.","Firebird, Database Backup, Serialized Database Table Dump, Load Utility, Mysqldump"
Disjunctive Databases for Representing Repairs,"This paper addresses the problem of representing the set of repairs of a
possibly inconsistent database by means of a disjunctive database.
Specifically, the class of denial constraints is considered. We show that,
given a database and a set of denial constraints, there exists a (unique)
disjunctive database, called canonical, which represents the repairs of the
database w.r.t. the constraints and is contained in any other disjunctive
database with the same set of minimal models. We propose an algorithm for
computing the canonical disjunctive database. Finally, we study the size of the
canonical disjunctive database in the presence of functional dependencies for
both repairs and cardinality-based repairs.","Cristian Molinaro, Jan Chomicki, Jerzy Marcinkowski","Disjunctive Databases for Representing Repairs. This paper addresses the problem of representing the set of repairs of a
possibly inconsistent database by means of a disjunctive database.
Specifically, the class of denial constraints is considered. We show that,
given a database and a set of denial constraints, there exists a (unique)
disjunctive database, called canonical, which represents the repairs of the
database w.r.t. the constraints and is contained in any other disjunctive
database with the same set of minimal models. We propose an algorithm for
computing the canonical disjunctive database. Finally, we study the size of the
canonical disjunctive database in the presence of functional dependencies for
both repairs and cardinality-based repairs.","Disjunctive Databases, Denial Constraints, Functional Dependencies"
Database Aggregation,"Knowledge can be represented compactly in a multitude ways, from a set of
propositional formulas, to a Kripke model, to a database. In this paper we
study the aggregation of information coming from multiple sources, each source
submitting a database modelled as a first-order relational structure. In the
presence of an integrity constraint, we identify classes of aggregators that
respect it in the aggregated database, provided all individual databases
satisfy it. We also characterise languages for first-order queries on which the
answer to queries on the aggregated database coincides with the aggregation of
the answers to the query obtained on each individual database. This
contribution is meant to be a first step on the application of techniques from
rational choice theory to knowledge representation in databases.","Francesco Belardinelli, Umberto Grandi","Database Aggregation. Knowledge can be represented compactly in a multitude ways, from a set of
propositional formulas, to a Kripke model, to a database. In this paper we
study the aggregation of information coming from multiple sources, each source
submitting a database modelled as a first-order relational structure. In the
presence of an integrity constraint, we identify classes of aggregators that
respect it in the aggregated database, provided all individual databases
satisfy it. We also characterise languages for first-order queries on which the
answer to queries on the aggregated database coincides with the aggregation of
the answers to the query obtained on each individual database. This
contribution is meant to be a first step on the application of techniques from
rational choice theory to knowledge representation in databases.","Database Aggregation, Rational Choice Theory, Kripke Model, Integrity Constraint"
"Context-based Ontology Modelling for Database: Enabling ChatGPT for
  Semantic Database Management","This research paper explores the use of ChatGPT in database management.
ChatGPT, an AI-powered chatbot, has limitations in performing tasks related to
database management due to the lack of standardized vocabulary and grammar for
representing database semantics. To address this limitation, the paper proposes
a solution that involves developing a set of syntaxes that can represent
database semantics in natural language. The syntax is used to convert database
schemas into natural language formats, providing a new application of ChatGPT
in database management. The proposed solution is demonstrated through a case
study where ChatGPT is used to perform two tasks, semantic integration, and
tables joining. Results demonstrate that the use of semantic database
representations produces more precise outcomes and avoids common mistakes
compared to cases with no semantic representation. The proposed method has the
potential to speed up the database management process, reduce the level of
understanding required for database domain knowledge, and enable automatic
database operations without accessing the actual data, thus illuminating
privacy protection concerns when using AI. This paper provides a promising new
direction for research in the field of AI-based database management.","Wenjun Lin, Paul Babyn, Yan yan, Wenjun Zhang","Context-based Ontology Modelling for Database: Enabling ChatGPT for
  Semantic Database Management. This research paper explores the use of ChatGPT in database management.
ChatGPT, an AI-powered chatbot, has limitations in performing tasks related to
database management due to the lack of standardized vocabulary and grammar for
representing database semantics. To address this limitation, the paper proposes
a solution that involves developing a set of syntaxes that can represent
database semantics in natural language. The syntax is used to convert database
schemas into natural language formats, providing a new application of ChatGPT
in database management. The proposed solution is demonstrated through a case
study where ChatGPT is used to perform two tasks, semantic integration, and
tables joining. Results demonstrate that the use of semantic database
representations produces more precise outcomes and avoids common mistakes
compared to cases with no semantic representation. The proposed method has the
potential to speed up the database management process, reduce the level of
understanding required for database domain knowledge, and enable automatic
database operations without accessing the actual data, thus illuminating
privacy protection concerns when using AI. This paper provides a promising new
direction for research in the field of AI-based database management.","ChatGPT, AI, Database Management, Semantic Database, Natural Language Processing, NLP"
Mragyati : A System for Keyword-based Searching in Databases,"The web, through many search engine sites, has popularized the keyword-based
search paradigm, where a user can specify a string of keywords and expect to
retrieve relevant documents, possibly ranked by their relevance to the query.
Since a lot of information is stored in databases (and not as HTML documents),
it is important to provide a similar search paradigm for databases, where users
can query a database without knowing the database schema and database query
languages such as SQL. In this paper, we propose such a database search system,
which accepts a free-form query as a collection of keywords, translates it into
queries on the database using the database metadata, and presents query results
in a well-structured and browsable form. Th eysytem maps keywords onto the
database schema and uses inter-relationships (i.e., data semantics) among the
referred tables to generate meaningful query results. We also describe our
prototype for database search, called Mragyati. Th eapproach proposed here is
scalable, as it does not build an in-memory graph of the entire database for
searching for relationships among the objects selected by the user's query.","N. L. Sarda, Ankur Jain","Mragyati : A System for Keyword-based Searching in Databases. The web, through many search engine sites, has popularized the keyword-based
search paradigm, where a user can specify a string of keywords and expect to
retrieve relevant documents, possibly ranked by their relevance to the query.
Since a lot of information is stored in databases (and not as HTML documents),
it is important to provide a similar search paradigm for databases, where users
can query a database without knowing the database schema and database query
languages such as SQL. In this paper, we propose such a database search system,
which accepts a free-form query as a collection of keywords, translates it into
queries on the database using the database metadata, and presents query results
in a well-structured and browsable form. Th eysytem maps keywords onto the
database schema and uses inter-relationships (i.e., data semantics) among the
referred tables to generate meaningful query results. We also describe our
prototype for database search, called Mragyati. Th eapproach proposed here is
scalable, as it does not build an in-memory graph of the entire database for
searching for relationships among the objects selected by the user's query.","Mragyati, Keyword-based Searching, Databases, SQL"
Database Semantics,"This paper, the first step to connect relational databases with systems
consequence (Kent: ""System Consequence"" 2009), is concerned with the semantics
of relational databases. It aims to to study system consequence in the
logical/semantic system of relational databases. The paper, which was inspired
by and which extends a recent set of papers on the theory of relational
database systems (Spivak: ""Functorial Data Migration"" 2012), is linked with
work on the Information Flow Framework (IFF) [http://suo.ieee.org/IFF/]
connected with the ontology standards effort (SUO), since relational databases
naturally embed into first order logic. The database semantics discussed here
is concerned with the conceptual level of database architecture. We offer both
an intuitive and technical discussion. Corresponding to the notions of primary
and foreign keys, relational database semantics takes two forms: a
distinguished form where entities are distinguished from relations, and a
unified form where relations and entities coincide. The distinguished form
corresponds to the theory presented in (Spivak: ""Simplicial databases""
2009)[arXiv:0904.2012]. The unified form, a special case of the distinguished
form, corresponds to the theory presented in (Spivak: ""Functorial Data
Migration"" 2012). A later paper will discuss various formalisms of relational
databases, such as relational algebra and first order logic, and will complete
the description of the relational database logical environment.",Robert E. Kent,"Database Semantics. This paper, the first step to connect relational databases with systems
consequence (Kent: ""System Consequence"" 2009), is concerned with the semantics
of relational databases. It aims to to study system consequence in the
logical/semantic system of relational databases. The paper, which was inspired
by and which extends a recent set of papers on the theory of relational
database systems (Spivak: ""Functorial Data Migration"" 2012), is linked with
work on the Information Flow Framework (IFF) [http://suo.ieee.org/IFF/]
connected with the ontology standards effort (SUO), since relational databases
naturally embed into first order logic. The database semantics discussed here
is concerned with the conceptual level of database architecture. We offer both
an intuitive and technical discussion. Corresponding to the notions of primary
and foreign keys, relational database semantics takes two forms: a
distinguished form where entities are distinguished from relations, and a
unified form where relations and entities coincide. The distinguished form
corresponds to the theory presented in (Spivak: ""Simplicial databases""
2009)[arXiv:0904.2012]. The unified form, a special case of the distinguished
form, corresponds to the theory presented in (Spivak: ""Functorial Data
Migration"" 2012). A later paper will discuss various formalisms of relational
databases, such as relational algebra and first order logic, and will complete
the description of the relational database logical environment.","Database Semantics, System Consequence, Information Flow Framework, IFF, SUO, Relational Algebra, Foreign Keys"
EMIT: Micro-Invasive Database Configuration Tuning,"The process of database knob tuning has always been a challenging task.
Recently, database knob tuning methods has emerged as a promising solution to
mitigate these issues. However, these methods still face certain limitations.On
one hand, when applying knob tuning algorithms to optimize databases in
practice, it either requires frequent updates to the database or necessitates
acquiring database workload and optimizing through workload replay. The former
approach involves constant exploration and updating of database configurations,
inevitably leading to a decline in database performance during optimization.
The latter, on the other hand, requires the acquisition of workload data, which
could lead to data leakage issues. Moreover, the hyperparameter configuration
space for database knobs is vast, making it challenging for optimizers to
converge. These factors significantly hinder the practical implementation of
database tuning. To address these concerns, we proposes an efficient and
micro-invasive knob tuning method. This method relies on workload synthesis on
cloned databases to simulate the workload that needs tuning, thus minimizing
the intrusion on the database. And we utilizing a configuration replacement
strategy to filter configuration candidates that perform well under the
synthesized workload to find best configuration. And during the tuning process,
we employ a knowledge transfer method to extract a common high-performance
space, to boost the convergence of the optimizer.","Jian Geng, Hongzhi Wang, Yu Yan","EMIT: Micro-Invasive Database Configuration Tuning. The process of database knob tuning has always been a challenging task.
Recently, database knob tuning methods has emerged as a promising solution to
mitigate these issues. However, these methods still face certain limitations.On
one hand, when applying knob tuning algorithms to optimize databases in
practice, it either requires frequent updates to the database or necessitates
acquiring database workload and optimizing through workload replay. The former
approach involves constant exploration and updating of database configurations,
inevitably leading to a decline in database performance during optimization.
The latter, on the other hand, requires the acquisition of workload data, which
could lead to data leakage issues. Moreover, the hyperparameter configuration
space for database knobs is vast, making it challenging for optimizers to
converge. These factors significantly hinder the practical implementation of
database tuning. To address these concerns, we proposes an efficient and
micro-invasive knob tuning method. This method relies on workload synthesis on
cloned databases to simulate the workload that needs tuning, thus minimizing
the intrusion on the database. And we utilizing a configuration replacement
strategy to filter configuration candidates that perform well under the
synthesized workload to find best configuration. And during the tuning process,
we employ a knowledge transfer method to extract a common high-performance
space, to boost the convergence of the optimizer.","EMIT, Database Configuration Tuning, Database, Workload Synthesis, Configuration Replacement"
